revenue_stream,value_usd_b,pct_of_total,comparison_qatar_2022_usd_b,source
TV Broadcasting Rights,3.92,44,1.8,FIFA Annual Report 2022 / FIFA Publications 2025
Ticketing & Hospitality,3.1,35,0.93,FIFA Annual Report 2022 / Business Standard Jun 2026
Sponsorship & Marketing,2.4,27,1.35,Ampere Analysis / SportsPro Jun 2026
Licensing & Other,0.74,8,0.49,FIFA Annual Report 2022
TOTAL FIFA WC Revenue,8.9,100,7.57,FIFA Annual Report / Business Standard Jun 2026
Prize Money Distributed,0.87,,0.44,FIFA confirmed / SportsPro Jun 2026
Clubs Compensation,0.36,,0.21,FIFA confirmed / SportsPro Jun 2026
Total 2023-2026 Cycle,13.0,,7.57,FIFA revised budget Mar 2025
